simulation,runtime_seconds,success
1,0.31345200538635254,True
2,0.5769739151000977,True
3,0.3070850372314453,True
4,0.2925879955291748,True
5,0.530426025390625,True
6,0.31732916831970215,True
7,0.9574401378631592,True
8,0.3175020217895508,True
9,0.31156086921691895,True
10,0.33639001846313477,True
11,0.6822757720947266,True
12,0.5636117458343506,True
13,0.5653009414672852,True
14,0.6025950908660889,True
15,0.30896520614624023,True
16,0.31040382385253906,True
17,0.6522109508514404,True
18,0.47498106956481934,True
19,0.6655628681182861,True
20,0.3131122589111328,True
21,0.8822789192199707,True
22,0.31444501876831055,True
23,0.9552099704742432,True
24,0.582197904586792,True
25,0.6223418712615967,True
26,0.5934460163116455,True
27,0.31957292556762695,True
28,0.3125941753387451,True
29,1.0056021213531494,True
30,0.4530508518218994,True
31,0.3111729621887207,True
32,0.6026599407196045,True
33,0.511232852935791,True
34,0.5831019878387451,True
35,0.5853562355041504,True
36,0.6729700565338135,True
37,0.5966417789459229,True
38,0.5383882522583008,True
39,0.31276488304138184,True
40,0.3158719539642334,True
41,0.620110034942627,True
42,0.3171210289001465,True
43,0.31566524505615234,True
44,0.3133981227874756,True
45,0.31882405281066895,True
46,0.5521178245544434,True
47,0.6040821075439453,True
48,0.3114278316497803,True
49,0.5432462692260742,True
50,0.3254227638244629,True
51,0.5214571952819824,True
52,0.32057690620422363,True
53,0.31783199310302734,True
54,1.1491150856018066,True
55,0.585003137588501,True
56,0.31685900688171387,True
57,0.3178389072418213,True
58,0.32013797760009766,True
59,0.3195912837982178,True
60,0.6763503551483154,True
61,0.3159911632537842,True
62,0.5879337787628174,True
63,0.5549056529998779,True
64,0.31723904609680176,True
65,0.3135249614715576,True
66,0.3151729106903076,True
67,0.5557081699371338,True
68,0.5146141052246094,True
69,0.31430578231811523,True
70,0.6422200202941895,True
71,1.0166988372802734,True
72,0.588188886642456,True
73,0.7123792171478271,True
74,0.6306579113006592,True
75,0.3178417682647705,True
76,0.3127708435058594,True
77,0.5828828811645508,True
78,0.624152660369873,True
79,0.5368890762329102,True
80,0.5328991413116455,True
81,0.6429576873779297,True
82,0.3459510803222656,True
83,0.5784361362457275,True
84,0.31751298904418945,True
85,0.604590654373169,True
86,0.3149118423461914,True
87,0.3196437358856201,True
88,0.6876821517944336,True
89,0.5963277816772461,True
90,0.5381300449371338,True
91,0.7025318145751953,True
92,0.3138449192047119,True
93,0.31422901153564453,True
94,0.6713390350341797,True
95,0.6647508144378662,True
96,0.31561923027038574,True
97,0.36458587646484375,True
98,0.3182487487792969,True
99,0.584014892578125,True
100,0.3626570701599121,True
